Nov 16, 2019  02:20:23 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   2.38E-009, 
  1.10,   2.50E-009, 
  1.20,   2.80E-009, 
  1.30,   8.00E-009, 
  1.40,   3.97E-008, 
  1.50,   7.33E-008, 
  1.60,   5.97E-008, 
  1.70,   4.88E-008, 
  1.80,   4.34E-008, 
  1.90,   4.05E-008, 
  2.00,   3.93E-008, 
  2.10,   3.80E-008, 
  2.20,   3.39E-008, 
  2.30,   3.11E-008, 
  2.40,   2.63E-008, 
  2.50,   1.98E-008, 
  2.60,   1.35E-008, 
  2.70,   1.19E-008, 
  2.80,   1.23E-008, 
  2.90,   1.39E-008, 
  3.00,   1.68E-008, 
  3.10,   2.09E-008, 
  3.20,   2.84E-008, 
  3.30,   4.35E-008, 
  3.40,   7.20E-008, 
  3.50,   1.44E-007, 
  3.60,   3.73E-007, 
  3.70,   1.56E-006, 
  3.80,   3.42E-006, 
  3.90,   4.38E-006, 
  4.00,   6.11E-006, 
  4.10,   6.21E-006, 
  4.20,   5.72E-006, 
  4.30,   4.70E-006, 
  4.40,   3.46E-006, 
  4.50,   4.79E-007, 
  4.60,   2.43E-008, 
  4.70,   7.51E-009, 
  4.80,   3.08E-009, 
  4.90,   1.48E-009, 
  5.00,   7.26E-010, 
  5.10,   2.47E-010, 
  5.20,   4.46E-011, 
  5.30,  -8.75E-011, 
  5.40,  -1.85E-010, 
  5.50,  -2.29E-010, 
  5.60,  -2.44E-010, 
  5.70,  -2.75E-010, 
  5.80,  -2.55E-010, 
  5.90,  -2.46E-010, 
  6.00,  -2.81E-010, 
  6.10,  -2.63E-010, 
  6.20,  -2.69E-010, 
  6.30,  -2.68E-010, 
  6.40,  -1.88E-010, 
  6.50,  -1.67E-010, 
  6.60,  -1.60E-010, 
  6.70,  -1.60E-010, 
  6.80,  -1.93E-010, 
