Nov 17, 2019  05:33:50 AM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   2.44E-009, 
  1.10,   2.60E-009, 
  1.20,   2.93E-009, 
  1.30,   1.04E-008, 
  1.40,   7.60E-008, 
  1.50,   9.05E-008, 
  1.60,   5.20E-008, 
  1.70,   4.87E-008, 
  1.80,   5.63E-008, 
  1.90,   6.13E-008, 
  2.00,   6.91E-008, 
  2.10,   6.86E-008, 
  2.20,   6.46E-008, 
  2.30,   5.77E-008, 
  2.40,   4.77E-008, 
  2.50,   3.08E-008, 
  2.60,   1.24E-008, 
  2.70,   7.12E-009, 
  2.80,   5.61E-009, 
  2.90,   5.41E-009, 
  3.00,   5.90E-009, 
  3.10,   6.85E-009, 
  3.20,   8.44E-009, 
  3.30,   1.20E-008, 
  3.40,   1.91E-008, 
  3.50,   3.46E-008, 
  3.60,   9.02E-008, 
  3.70,   3.47E-007, 
  3.80,   1.25E-006, 
  3.90,   1.86E-006, 
  4.00,   2.32E-006, 
  4.10,   2.87E-006, 
  4.20,   2.27E-006, 
  4.30,   2.23E-006, 
  4.40,   1.64E-006, 
  4.50,   4.74E-007, 
  4.60,   2.35E-008, 
  4.70,   6.96E-009, 
  4.80,   2.79E-009, 
  4.90,   1.22E-009, 
  5.00,   5.13E-010, 
  5.10,   9.92E-011, 
  5.20,  -9.92E-011, 
  5.30,  -1.84E-010, 
  5.40,  -2.51E-010, 
  5.50,  -3.07E-010, 
  5.60,  -3.58E-010, 
  5.70,  -3.26E-010, 
  5.80,  -2.79E-010, 
  5.90,  -2.61E-010, 
  6.00,  -2.44E-010, 
  6.10,  -2.04E-010, 
  6.20,  -2.25E-010, 
  6.30,  -2.50E-010, 
  6.40,  -1.92E-010, 
  6.50,  -1.88E-010, 
  6.60,  -1.85E-010, 
  6.70,  -2.17E-010, 
  6.80,  -1.89E-010, 
