Nov 20, 2019  12:00:13 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   1.58E-009, 
  1.10,   1.58E-009, 
  1.20,   1.85E-009, 
  1.30,   2.20E-008, 
  1.40,   6.63E-008, 
  1.50,   5.53E-008, 
  1.60,   5.36E-008, 
  1.70,   6.05E-008, 
  1.80,   6.70E-008, 
  1.90,   7.61E-008, 
  2.00,   7.73E-008, 
  2.10,   7.15E-008, 
  2.20,   6.21E-008, 
  2.30,   5.73E-008, 
  2.40,   4.24E-008, 
  2.50,   1.80E-008, 
  2.60,   7.48E-009, 
  2.70,   4.78E-009, 
  2.80,   3.56E-009, 
  2.90,   3.40E-009, 
  3.00,   3.86E-009, 
  3.10,   4.85E-009, 
  3.20,   6.23E-009, 
  3.30,   9.26E-009, 
  3.40,   1.66E-008, 
  3.50,   3.73E-008, 
  3.60,   1.59E-007, 
  3.70,   6.57E-007, 
  3.80,   1.01E-006, 
  3.90,   1.45E-006, 
  4.00,   1.58E-006, 
  4.10,   1.47E-006, 
  4.20,   1.40E-006, 
  4.30,   1.08E-006, 
  4.40,   6.29E-007, 
  4.50,   4.63E-008, 
  4.60,   8.95E-009, 
  4.70,   3.52E-009, 
  4.80,   1.60E-009, 
  4.90,   7.56E-010, 
  5.00,   3.00E-010, 
  5.10,   1.95E-011, 
  5.20,  -1.30E-010, 
  5.30,  -1.73E-010, 
  5.40,  -1.95E-010, 
  5.50,  -1.72E-010, 
  5.60,  -2.11E-010, 
  5.70,  -2.05E-010, 
  5.80,  -2.29E-010, 
  5.90,  -2.01E-010, 
  6.00,  -1.79E-010, 
  6.10,  -1.85E-010, 
  6.20,  -1.80E-010, 
  6.30,  -1.59E-010, 
  6.40,  -1.83E-010, 
  6.50,  -1.74E-010, 
  6.60,  -1.33E-010, 
  6.70,  -1.62E-010, 
  6.80,  -1.76E-010, 
