Nov 21, 2019  04:49:52 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   1.51E-009, 
  1.10,   1.65E-009, 
  1.20,   1.90E-009, 
  1.30,   1.11E-008, 
  1.40,   6.30E-008, 
  1.50,   5.98E-008, 
  1.60,   3.18E-008, 
  1.70,   2.92E-008, 
  1.80,   3.36E-008, 
  1.90,   3.70E-008, 
  2.00,   4.26E-008, 
  2.10,   4.09E-008, 
  2.20,   3.78E-008, 
  2.30,   3.42E-008, 
  2.40,   2.80E-008, 
  2.50,   1.76E-008, 
  2.60,   7.59E-009, 
  2.70,   4.36E-009, 
  2.80,   2.91E-009, 
  2.90,   2.55E-009, 
  3.00,   2.61E-009, 
  3.10,   2.89E-009, 
  3.20,   3.58E-009, 
  3.30,   5.05E-009, 
  3.40,   7.60E-009, 
  3.50,   1.39E-008, 
  3.60,   3.75E-008, 
  3.70,   2.29E-007, 
  3.80,   6.00E-007, 
  3.90,   9.07E-007, 
  4.00,   1.10E-006, 
  4.10,   1.17E-006, 
  4.20,   9.99E-007, 
  4.30,   9.37E-007, 
  4.40,   6.57E-007, 
  4.50,   1.53E-007, 
  4.60,   1.33E-008, 
  4.70,   4.73E-009, 
  4.80,   1.96E-009, 
  4.90,   9.05E-010, 
  5.00,   4.31E-010, 
  5.10,   1.53E-010, 
  5.20,  -3.90E-011, 
  5.30,  -1.44E-010, 
  5.40,  -1.79E-010, 
  5.50,  -1.74E-010, 
  5.60,  -2.10E-010, 
  5.70,  -2.24E-010, 
  5.80,  -2.01E-010, 
  5.90,  -1.86E-010, 
  6.00,  -1.93E-010, 
  6.10,  -1.52E-010, 
  6.20,  -1.46E-010, 
  6.30,  -1.51E-010, 
  6.40,  -1.55E-010, 
  6.50,  -1.37E-010, 
  6.60,  -1.51E-010, 
  6.70,  -1.24E-010, 
  6.80,  -1.19E-010, 
